Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
,Callao,,"-92,6167","39,75",,,,2058231
,Guayaquil,,"-79,9","-2,2167",,,,7004715
,Quito,,"-77,5",-2,,,,1000051
,Cilly,,,,,,,
,Brüssel,,"4,3333","50,8333",,,,7007868
,Byzanz,,,,,,,
,Bedburg,,"8,3333",51,,,,1136878
,Karlsbad,,"12,8667","50,2167",,,,7011521
,Krems,,"14,3167","48,2333",,,,1125746
,Siena,,"11,3167","43,3167",,,,7011179
,Lucca,,"10,2167","43,8333",,,,7006076
,Arezzo,,"11,8833","43,4167",,,,7006072
,Ferrara,,"11,8333","44,8",,,,7003128
,Viterbo,,"12,0833","42,4167",,,,7003139
,Civitavecchia,,"11,7833","42,0833",,,,7007035
,Herculanum,,,,,,,
,Ancona,,"13,5167","43,6167",,,,7003980
,Pornóapáti,,,,,,,
,Sparta,,"22,4167","37,0833",,,,7011065
,Athen,,"23,7333",38,,,,7001393
,Tyrus,,,,,,,5003214
,Solin,,"16,5","43,55",,,,7017320
,Labor,,,,,,,
,Otranto,,"18,5","40,1333",,,,7004093
,San-michele,,,,,,,
,Pola,,"-3,7167","50,25",,,,7025696
,Sainte-menehould,,,,,,,
,Pugnolo,,,,,,,
,Sospiro,,,,,,,
,Vydrany,,,,,,,
,Palota,,,,,,,
,Đakovo,,,,,,,
,Wolfenbuettel,,,,,,,
,Goslar,,"10,4167","51,9167",,,,7005630
,Vác,,"19,1333","47,7667",,,,7010526
,Eszék,,"18,6833","45,55",,,,7015337
,Osijek,,"18,6833","45,55",,,,7015337
,Przemyśl,,"22,7833","49,7833",,,,7003385
,Nymburk,,15,"50,2",,,,1027432
,Marienbad,,"12,75","49,8",,,,1027370
,Gastein,,"13,15","47,1167",,,,1025441
,Hietzing,,"16,3","48,1833",,,,1004652
,Lungern,,"8,1667","46,8",,,,1064205
,Buczacz,,,,,,,
,Krechów,,,,,,,
,Koniuchi,,,,,,,
,Brzezany,,,,,,,
,Zolkiew,,,,,,,
,Sambor,,"23,1667","49,5167",,,,1059156
,Galizien,,22,49,,,,7002787
,Baden,,,,,,,1064172
,Reichenau,,"14,95","50,4167",,,,1048937
,Peruc,,"13,9667","50,3333",,,,1027464
,Baumgartenberg,,,,,,,
,Smečno,,"14,05","50,1833",,,,1027531
,Interlaken,,"7,8667","46,7",,,,7007377
,Thun,,"7,6333","46,7667",,,,7007485
,Gemmi,,,,,,,
,Chamonix,,,,,,,
,Zürich,,"8,55","47,3833",,,,7003765
,Warasdin,,"16,35","46,3",,,,1065312
,Essek,,,,,,,
,Rinteln,,"9,0667","52,1833",,,,1040922
,Castelfondo,,"11,1167","46,45",,,,1044010
,Lombardei,,"9,5","45,6667",,,,7003237
,Raeckelwitz,,,,,,,
,Basel,,"7,6","47,55",,,,7007269
,Altranstaedt,,,,,,,
,Kozmin,,,,,,,
,Sendomir,,,,,,,
,Wegrow,,,,,,,
,Horn,,"8,95","51,8667",,,,7005301
,Wittenberg,,"12,65","51,8833",,,,7012349
,Rakos,,,,,,,
,Silein,,,,,,,
,Kirchdrauf,,"20,7833",49,,,,4010681
,Semptau,,,,,,,
,Komjat,,,,,,,
,Satu-mare,,,,,,,
,Rosenberg,,"18,4333","50,85",,,,7007750
,Erdoed,,,,,,,
,Torda,,"23,8333","46,5833",,,,7005773
,Medias,,,,,,,
,Grossenyed,,,,,,,
,Worms,,"8,35","49,6333",,,,7005108
,Konstanz,,"9,1667","47,6667",,,,7005174
,Aschaffenburg,,"9,15","49,9833",,,,7004322
,Bourges,,"2,3833","47,0833",,,,7017415
,Fontainebleau,,"2,7","48,4",,,,7008005
,Luebeck,,,,,,,
,Bremen,,"8,8","53,0833",,,,7005286
,St-gallen,,,,,,,
,Aargau,,"8,1667","47,5",,,,7003739
,Thurgau,,9,"47,5833",,,,7003759
,Laucha,,"11,6667","51,2333",,,,1037171
,Pressnitz,,,,,,,
,Bruessel,,,,,,,
,Amsterdam,,"4,9","52,35",,,,7006952
,Haag,,"14,5667","48,1167",,,,1025631
,Kopenhagen,,"12,5667","55,7167",,,,7003474
,Rechnitz,,"16,4333","47,3167",,,,1025991
,Bries,,15,"50,4",,,,4001045
,Debreczin,,,,,,,
,Fuered,,,,,,,
,Sjaogoemoer,,,,,,,
,Wanowitz,,,,,,,
,Komitat-trentschin,,,,,,,
,Komitat-turz,,,,,,,
,Komitat-arwa,,,,,,,
,Komitat-liptau,,,,,,,
,Komitat-sohl,,,,,,,
,Komitat-pressburg,,,,,,,
,Komitat-bars,,,,,,,
,Komitat-hont,,,,,,,
,Komitat-ung,,,,,,,
,Komitat-maramaros,,,,,,,
,Komitat-ugocsa,,,,,,,
,Zay-ugrotz,,,,,,,
,Schemnitz,,"18,8333","48,4833",,,,7011354
,Uj-verbász,,,,,,,
,Pápa,,"17,4667","47,3333",,,,7010504
,Mukatschewe,,,,,,,
,Lundenburg,,"-0,1667","51,5",,,,7011781
,Iglau,,"15,5667","49,4",,,,7011504
,Magdeburg,,"11,6167","52,1333",,,,7004456
,Falkenstein,,"12,3667","50,4833",,,,1036684
,Dohna,,"13,8667","50,95",,,,1036614
,Jaegerndorf,,,,,,,
,Hvar,,"16,4667","43,1833",,,,7015484
,Žolkiew,,,,,,,
,Baden-baden,,,,,,,
,Achen,,,,,,,
,Badenweiler,,"7,6833","47,8",,,,7012380
,Karstadt,,,,,,,
,Offenburg,,"7,95","48,4833",,,,7012635
,Elberfeld,,"7,1333","51,2667",,,,1004421
,Lubań,,"15,2833","51,1167",,,,1049215
,Legnica,,"16,1667","51,2",,,,7007726
,Bennisch,,,,,,,
,Freudenthal,,"17,45",50,,,,7011429
,Rzeszow,,,,,,,
,Riegel,,"7,75","48,15",,,,1040912
,Telezí,,,,,,,
,Slaupnitz,,,,,,,
,Brunnersdorf,,,,,,,
,Kralup,,,,,,,
,Kralupy-nad-vlatavou,,,,,,,
,Kaaden,,"13,2667","50,4",,,,7011508
,Schloss-ivano,,,,,,,
,Kadaň,,"13,2667","50,4",,,,7011508
,Zsigra,,,,,,,
,Petrócz,,,,,,,
,Chwalbogowo,,,,,,,
