Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
,Koblenz,,"8,2333","47,6167",,,,7007549
,Bautzen,,"14,4833","51,1833",,,,7012305
,Görlitz,,15,"51,15",,,,7012813
,Budussin,,,,,,,
,Dresden,,"13,75","51,05",,,,7004455
,Laukow,,,,,,,
,Wuerzburg,,,,,,,
,Budissin,,"14,4833","51,1833",,,,7012305
,Tübingen,,"9,75","48,5",,,,1003267
,Rottweil,,"8,6167","48,1667",,,,7012685
,Wuerttemberg,,,,,,,
,Leipzig,,"12,4167","51,3333",,,,7012329
,Würzburg,,"9,9333","49,8",,,,7004335
,Jaworzno,,,,,,,
,Stanislau,,,,,,,
,Sandez,,,,,,,
,Jaslo,,,,,,,
,Rzeszów,,22,"50,0667",,,,7007791
,Tarnow,,"20,9833","50,0167",,,,7003387
,Pilsen,,"13,4167","49,75",,,,7011723
,Eger,,,,,,,1123667
,Goerkau,,,,,,,
,Waizna,,,,,,,
,Rád,,,,,,,
,Komitat-neograd,,,,,,,
,Oberufer,,,,,,,
,Engerau,,,,,,,
,Vezekény,,,,,,,
,Farád,,,,,,,
,Komitat-wieselburg,,,,,,,
,Oedenburg,,,,,,,
,Komitat-oedenburg,,,,,,,
,Komitat-eisenburg,,,,,,,
,Zala-istvand,,,,,,,
,Puszta-szent-laszlo,,,,,,,
,Komitat-zala,,,,,,,
,Galsa,,,,,,,
,Komitat-veszprem,,,,,,,
,Leiben,,,,,,,
,Komitat-raab,,,,,,,
,Szepetnek,,,,,,,
,Komitat-suemeg,,,,,,,
,Legrad,,,,,,,
,Ervatien,,,,,,,
,Eperies,,,,,,,
,Komitat-saros,,,,,,,
,Komitat-abauj-torna,,,,,,,
,Komitat-zips,,,,,,,
,Komitat-goemoer,,,,,,,
,Komitat-semplin,,,,,,,
,Komitat-bereg-ugocsa,,,,,,,
,Szarvas,,"20,5833","46,85",,,,7010515
,Nagy-bánya,,,,,,,
,Nagy-károly,,,,,,,
,Komitat-szatmar,,,,,,,
,Grosswardein,,"21,9167","47,05",,,,7009161
,Komitat-bihar,,,,,,,
,Nyiregyháza,,,,,,,
,Komitat-szabolcs,,,,,,,
,Nagy-szent-miklos,,,,,,,
,Tiszaföldvár,,"20,1833","46,9667",,,,1042490
,Szentes,,"20,2833","46,6667",,,,7010529
,Hodmezovasarhely,,,,,,,
,Arnoth,,,,,,,
,Kaza,,,,,,,
,Miskolc,,"20,7833","48,1167",,,,7010491
,Fancsal,,,,,,,
,Szánto,,,,,,,
,Vecse,,,,,,,
,Tállya,,,,,,,
,Tokaj,,,,,,,1130916
,Vrbas,,"17,5","45,0833",,,,1131545
,Kosd,,,,,,,
,Boeny,,,,,,,
,Szombathely,,"16,6333","47,2333",,,,7010521
,O-szoeny,,,,,,,
,Komitat-komorn,,,,,,,
,Déva-vanya,,,,,,,
,Komitat-bekes,,,,,,,
,Komorn,,"18,0833","47,7667",,,,1027286
,Pilismarót,,,,,,,
,Doemoes,,,,,,,
,Komitat-gran,,,,,,,
,Papa,,"-155,8667","19,2",,,,2025196
,Battyan,,,,,,,
,Bodajk,,,,,,,
,Csákterény,,,,,,,
,Csoesz,,,,,,,
,Egres,,,,,,,
